sample_idx,sample_date
0,2024-01-1
1,2024-01-2
2,2024-01-3
3,2024-01-4
4,2024-01-5
5,2024-01-6
6,2024-01-7
7,2024-01-8
8,2024-01-9
9,2024-01-10
10,2024-02-1
11,2024-02-2
12,2024-02-3
13,2024-02-4
14,2024-02-5
15,2024-02-6
16,2024-02-7
17,2024-02-8
18,2024-02-9
19,2024-02-10
20,2024-03-1
21,2024-03-2
22,2024-03-3
23,2024-03-4
24,2024-03-5
25,2024-03-6
26,2024-03-7
27,2024-03-8
28,2024-03-9
29,2024-03-10
30,2024-04-1
31,2024-04-2
32,2024-04-3
33,2024-04-4
34,2024-04-5
35,2024-04-6
36,2024-04-7
37,2024-04-8
38,2024-04-9
39,2024-04-10
40,2024-05-1
41,2024-05-2
42,2024-05-3
43,2024-05-4
44,2024-05-5
45,2024-05-6
46,2024-05-7
47,2024-05-8
48,2024-05-9
49,2024-05-10
