sample_date,am_count,wc_count,origin_lat,origin_lon,destination_lat,destination_lon,arrival_time,scheduled_pickup,time_diff,direct_distance
2024-01-1,1,0,1165,522,1014,2217,3600,10477,6877,1702
2024-01-1,1,0,1679,999,798,2494,4028,7050,3022,1736
2024-01-1,1,0,912,1718,650,45,4028,8212,4184,1694
2024-01-1,1,0,1108,780,864,1080,4149,4243,94,387
2024-01-1,1,0,896,2382,707,448,4203,11403,7200,1944
2024-01-1,1,0,1843,852,380,1497,4235,10862,6627,1599
2024-01-1,1,0,2275,2289,621,2453,4305,5697,1392,1663
2024-01-1,1,0,2284,2456,983,827,4447,7222,2775,2085
2024-01-1,1,0,1604,2373,1427,2291,4617,6572,1955,196
2024-01-1,1,0,335,2008,1310,1339,4878,5746,868,1183
2024-01-1,1,0,2464,1598,1028,25,5061,6815,1754,2130
2024-01-1,1,0,1105,828,2433,2190,5449,11651,6202,1903
2024-01-1,1,0,2372,785,1062,872,5526,8418,2892,1313
2024-01-1,1,0,985,2417,1033,2243,6235,7903,1668,181
2024-01-1,1,0,2098,1253,2188,470,6244,9007,2763,789
2024-01-1,1,0,1127,187,1316,170,6617,8976,2359,190
2024-01-1,1,0,927,575,550,378,6799,13745,6946,426
2024-01-1,1,0,1844,342,522,558,7074,12673,5599,1340
2024-01-1,1,0,2181,2266,1483,638,7125,10072,2947,1772
2024-01-1,1,0,1953,1635,1472,2294,7200,9480,2280,816
2024-01-1,1,0,1240,1292,36,1549,7200,14400,7200,1232
2024-01-1,1,0,328,2286,2365,1057,7590,7590,0,2380
2024-01-1,1,0,1707,808,2123,611,7683,13531,5848,461
2024-01-1,1,0,434,627,156,1860,8123,9015,892,1264
2024-01-1,1,0,852,1517,1148,1209,8154,10348,2194,428
2024-01-1,1,0,1167,1601,774,710,8322,8952,630,974
2024-01-1,1,0,421,2461,1008,798,8999,14739,5740,1764
2024-01-1,1,0,2282,1285,2073,1287,9097,11487,2390,210
2024-01-1,1,0,411,2403,694,1686,9193,10121,928,771
2024-01-1,1,0,1447,2371,2344,2340,9233,12572,3339,898
2024-01-1,1,0,133,173,347,1102,9238,12993,3755,954
2024-01-1,1,0,548,2479,2003,1946,9560,12885,3325,1550
2024-01-1,1,0,596,1236,1527,656,9627,11593,1966,1097
2024-01-1,1,0,832,778,256,1484,9714,14114,4400,912
2024-01-1,1,0,1406,1159,546,1855,9905,10254,349,1107
2024-01-1,1,0,937,1470,605,29,9921,14192,4271,1479
2024-01-1,1,0,846,81,490,1581,10162,10801,639,1542
2024-01-1,1,0,923,494,210,2024,10207,14404,4197,1688
2024-01-1,1,0,2376,2226,1455,650,10459,15744,5285,1826
2024-01-1,1,0,55,605,2171,1891,10800,15098,4298,2477
2024-01-1,1,0,1378,649,1478,1690,10800,12735,1935,1046
2024-01-1,1,0,1978,1625,629,504,10968,14031,3063,1754
2024-01-1,1,0,1416,1433,1435,1715,11208,12826,1618,283
2024-01-1,1,0,1878,670,648,1753,11282,15504,4222,1639
2024-01-1,1,0,1456,501,41,822,11336,17717,6381,1451
2024-01-1,1,0,548,153,20,1985,11727,12302,575,1907
2024-01-1,1,0,2210,206,1407,367,11823,17616,5793,819
2024-01-1,1,0,289,1875,1053,1508,12401,12401,0,848
2024-01-1,1,0,290,647,364,2136,12589,18763,6174,1491
2024-01-1,1,0,99,517,914,2374,12757,16901,4144,2028
2024-01-1,1,0,2358,2351,1272,1943,12778,17206,4428,1161
2024-01-1,1,0,528,1299,2418,127,13293,18398,5105,2224
2024-01-1,1,0,2437,1215,283,1817,13396,19559,6163,2237
2024-01-1,1,0,2405,1602,478,1265,13546,16715,3169,1957
2024-01-1,1,0,1082,2275,1712,640,13636,19301,5665,1753
2024-01-1,1,0,2230,844,2397,1699,13683,19444,5761,872
2024-01-1,1,0,146,1576,638,1863,14086,20547,6461,570
2024-01-1,1,0,1588,2467,252,1611,14233,19265,5032,1587
2024-01-1,1,0,513,1695,1013,1962,14234,17684,3450,567
2024-01-1,1,0,2304,1114,1073,522,14400,19835,5435,1366
2024-01-1,1,0,547,284,911,783,14400,20576,6176,618
2024-01-1,1,0,2063,666,1508,1684,14405,15713,1308,1160
2024-01-1,1,0,883,1491,1818,775,14410,14492,82,1178
2024-01-1,1,0,388,2435,63,533,14464,19276,4812,1930
2024-01-1,1,0,354,1553,559,2449,14841,22041,7200,920
2024-01-1,1,0,2164,1116,2255,1499,14989,22189,7200,394
2024-01-1,1,0,1168,1669,1471,241,15144,18042,2898,1460
2024-01-1,1,0,1116,1529,1024,2422,15497,18872,3375,898
2024-01-1,1,0,2145,2332,1251,905,15523,21330,5807,1684
2024-01-1,1,0,1967,2354,1945,1481,15585,19387,3802,874
2024-01-1,1,0,2033,1140,568,945,15754,18451,2697,1478
2024-01-1,1,0,1875,920,736,797,16424,17121,697,1146
2024-01-1,1,0,2079,2446,1009,595,16581,19123,2542,2139
2024-01-1,1,0,833,813,1614,1239,16585,23785,7200,890
2024-01-1,1,0,715,2092,1561,1781,16894,20470,3576,902
2024-01-1,1,0,1597,2295,554,1209,16945,22504,5559,1506
2024-01-1,1,0,1392,1387,1290,1038,17260,18764,1504,364
2024-01-1,1,0,190,1814,1677,485,17354,20289,2935,1995
2024-01-1,1,0,1801,153,2208,345,17736,23038,5302,451
2024-01-1,1,0,2389,1978,803,1602,18000,22000,4000,1630
2024-01-1,1,0,1781,1705,2499,62,18000,19891,1891,1794
2024-01-1,1,0,1898,1758,1638,339,18149,25349,7200,1443
2024-01-1,1,0,2440,1241,2190,283,18361,23014,4653,991
2024-01-1,1,0,902,1884,1742,422,18748,18816,68,1687
2024-01-1,1,0,1389,466,1908,1454,18785,18785,0,1117
2024-01-1,1,0,92,1223,443,1012,18789,21260,2471,410
2024-01-1,1,0,1951,1491,195,818,18805,21205,2400,1881
2024-01-1,1,0,1013,2023,474,580,18951,23277,4326,1541
2024-01-1,1,0,2370,1683,1778,2266,19155,22585,3430,831
2024-01-1,1,0,437,94,10,1904,19339,19537,198,1860
2024-01-1,1,0,2438,1651,1577,62,19423,23592,4169,1808
2024-01-1,1,0,793,1111,1156,1770,20404,25614,5210,753
2024-01-1,1,0,162,1871,72,1075,20594,25828,5234,802
2024-01-1,1,0,87,1490,1436,56,20698,25857,5159,1969
2024-01-1,1,0,1516,1643,2048,1798,20874,21442,568,555
2024-01-1,1,0,1747,123,716,2489,21173,27342,6169,2581
2024-01-1,1,0,723,2352,1098,1393,21416,25774,4358,1030
2024-01-1,1,0,2500,515,197,120,21483,23836,2353,2337
2024-01-1,1,0,876,108,1050,2276,21498,24355,2857,2175
2024-01-1,1,0,1453,1332,1088,907,21600,22941,1341,561
2024-01-1,1,0,809,1300,1435,1916,21600,22977,1377,879
2024-01-1,1,0,618,786,534,1516,21732,28061,6329,735
2024-01-1,1,0,2028,622,870,1029,22136,25973,3837,1228
2024-01-1,1,0,676,2293,2446,1464,22304,25232,2928,1955
2024-01-1,1,0,918,596,409,2047,22384,22384,0,1538
2024-01-1,1,0,1449,1957,1177,89,22493,25543,3050,1888
2024-01-1,1,0,2342,2105,1902,1808,22645,25594,2949,531
2024-01-1,1,0,2315,1077,304,1916,22775,24538,1763,2180
2024-01-1,1,0,2423,925,2232,1995,23200,26136,2936,1087
2024-01-1,1,0,1410,275,1072,2428,23610,23610,0,2180
2024-01-1,1,0,1752,1990,2074,2201,23692,24929,1237,385
2024-01-1,1,0,2339,59,512,1152,24232,24753,521,2129
2024-01-1,1,0,230,841,203,1469,24263,30426,6163,629
2024-01-1,1,0,535,1169,149,355,24285,31485,7200,901
2024-01-1,1,0,1294,2246,1700,1224,24309,31509,7200,1100
2024-01-1,1,0,1731,2176,2365,987,24424,30253,5829,1348
2024-01-1,1,0,525,1662,1089,2303,24428,27648,3220,854
