sample_date,am_count,wc_count,origin_lat,origin_lon,destination_lat,destination_lon,arrival_time,scheduled_pickup,time_diff
2024-12-11,1,0,2111,530,2079,2226,3600,4736,1136
2024-12-11,1,0,2444,1033,577,194,3801,7520,3719
2024-12-11,1,0,2340,635,151,2216,3949,9192,5243
2024-12-11,1,0,724,1897,1131,2156,4076,8454,4378
2024-12-11,1,0,1377,191,1252,1932,4164,4164,0
2024-12-11,1,0,666,391,488,1112,4331,9170,4839
2024-12-11,1,0,1436,655,1473,2378,4423,11076,6653
2024-12-11,1,0,1505,2356,1235,2161,4780,5294,514
2024-12-11,1,0,1221,1899,594,387,5312,12171,6859
2024-12-11,1,0,67,2225,183,306,5389,11117,5728
2024-12-11,1,0,164,2324,2318,440,5641,9773,4132
2024-12-11,1,0,2437,2172,1981,664,5762,10603,4841
2024-12-11,1,0,996,1639,33,1489,5897,10225,4328
2024-12-11,1,0,761,681,1377,299,6314,8669,2355
2024-12-11,1,0,92,54,386,801,6326,7725,1399
2024-12-11,1,0,758,74,398,253,6340,12692,6352
2024-12-11,1,0,1681,46,1457,1393,6344,8137,1793
2024-12-11,1,0,147,1967,1619,1031,6630,13002,6372
2024-12-11,1,0,1330,801,532,2213,6872,13057,6185
2024-12-11,1,0,416,324,701,1490,7200,13198,5998
2024-12-11,1,0,1608,965,2415,1981,7200,10524,3324
2024-12-11,1,0,1763,1148,937,687,7348,9599,2251
2024-12-11,1,0,1114,1526,986,2499,7658,12610,4952
2024-12-11,1,0,1985,635,2098,3,7674,13289,5615
2024-12-11,1,0,684,490,917,2413,7959,12194,4235
2024-12-11,1,0,1314,2412,1345,912,8246,8813,567
2024-12-11,1,0,530,914,2399,79,8308,12276,3968
2024-12-11,1,0,1917,2206,850,1123,8343,11273,2930
2024-12-11,1,0,267,822,1897,437,8441,10045,1604
2024-12-11,1,0,4,390,1245,619,8559,10714,2155
2024-12-11,1,0,1623,974,1416,562,8777,13210,4433
2024-12-11,1,0,1487,1523,1485,570,8927,16127,7200
2024-12-11,1,0,86,421,2393,2001,10080,15876,5796
2024-12-11,1,0,1244,2189,2012,425,10108,10108,0
2024-12-11,1,0,2452,1268,309,1932,10169,14835,4666
2024-12-11,1,0,2002,692,84,1585,10214,11787,1573
2024-12-11,1,0,1194,1989,2373,600,10489,13897,3408
2024-12-11,1,0,979,98,1617,619,10564,11559,995
2024-12-11,1,0,1922,2099,203,2220,10727,11475,748
2024-12-11,1,0,1953,981,1019,1327,10800,12032,1232
2024-12-11,1,0,1936,341,1428,173,10800,18000,7200
2024-12-11,1,0,452,788,200,2389,10943,14603,3660
2024-12-11,1,0,2168,2447,866,754,10961,18115,7154
2024-12-11,1,0,534,883,734,130,11279,11355,76
2024-12-11,1,0,1076,1663,1018,1775,11504,12347,843
2024-12-11,1,0,86,299,405,2024,11587,11984,397
2024-12-11,1,0,2369,214,1553,2116,11786,18544,6758
2024-12-11,1,0,1910,2271,1111,19,11813,19013,7200
2024-12-11,1,0,1901,1322,526,776,12044,17588,5544
2024-12-11,1,0,2213,173,135,267,12757,17942,5185
2024-12-11,1,0,615,918,1579,943,12860,12869,9
2024-12-11,1,0,2284,2335,1175,1060,13156,14317,1161
2024-12-11,1,0,873,593,2237,2494,13194,15085,1891
2024-12-11,1,0,41,372,2288,1931,13533,16808,3275
2024-12-11,1,0,1010,1870,2036,1377,13625,16957,3332
2024-12-11,1,0,260,587,1363,985,13680,20880,7200
2024-12-11,1,0,1538,2482,310,2092,13918,18376,4458
2024-12-11,1,0,954,2189,207,1560,13923,19199,5276
2024-12-11,1,0,66,663,1124,1649,14398,18090,3692
2024-12-11,1,0,2254,123,1941,606,14400,20803,6403
2024-12-11,1,0,793,1498,78,2160,14400,15400,1000
2024-12-11,1,0,1640,1980,91,995,14562,15021,459
2024-12-11,1,0,1304,470,1028,2288,15291,15620,329
2024-12-11,1,0,1482,872,1422,851,15532,15811,279
2024-12-11,1,0,203,1569,914,2104,15661,18454,2793
2024-12-11,1,0,1017,1767,721,248,15878,18285,2407
2024-12-11,1,0,1310,1962,20,749,15883,20663,4780
2024-12-11,1,0,1221,425,419,14,15966,20465,4499
2024-12-11,1,0,2005,1238,290,929,16218,16393,175
2024-12-11,1,0,976,1778,57,741,16298,23498,7200
