sample_idx,sample_date
0,2016-04-30
1,2016-04-09
2,2016-08-11
3,2016-12-08
4,2016-07-24
5,2016-08-24
6,2016-10-07
7,2016-04-21
8,2016-10-06
9,2016-05-18
10,2016-11-30
11,2016-07-01
12,2016-09-03
13,2016-03-30
14,2016-10-02
15,2016-10-29
16,2016-03-03
17,2016-03-11
18,2016-04-03
19,2016-01-14
20,2016-01-20
21,2016-02-17
22,2016-12-13
23,2016-10-25
24,2016-09-05
25,2016-03-12
26,2016-07-09
27,2016-10-31
28,2016-12-19
29,2016-01-29
30,2016-07-11
31,2016-09-04
32,2016-03-02
33,2016-11-03
34,2016-01-03
35,2016-01-13
36,2016-03-04
37,2016-07-16
38,2016-11-24
39,2016-05-10
40,2016-02-25
41,2016-12-14
42,2016-09-11
43,2016-12-27
44,2016-10-09
45,2016-11-06
46,2016-06-07
47,2016-04-01
48,2016-05-14
49,2016-04-18
50,2016-10-21
51,2016-02-11
52,2016-07-15
53,2016-09-22
54,2016-11-04
55,2016-02-06
56,2016-02-24
57,2016-12-12
58,2016-06-13
59,2016-12-18
